"filename", "language", "YAML", "C++", "CMake", "Markdown", "JSON", "Dart", "HTML", "Swift", "XML", "Properties", "comment", "blank", "total"
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Services\OutlookService.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Views\AuthScreen.dart", "Dart", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 8, 11, 155
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Views\DriveScreen.dart", "Dart", 0, 0, 0, 0, 0, 522, 0, 0, 0, 0, 4, 48, 574
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Views\ForgotPAssword.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 5, 91
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Views\WelcomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Widgets\CustomButton.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Widgets\CustomText.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Widgets\CustomTextfield.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 3, 53
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Widgets\LocalExplorerScreen.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 1, 12, 86
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Widgets\SignInForm.dart", "Dart", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 5, 104
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\Widgets\SignUpForm.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 64
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 11, 55
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\CMakeLists.txt", "CMake", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
